allocation_date,condition,order_line_id,message_id,supply_id,customer_id,product_id,supply_grade,requested_grade,delivery_date,objective_unit_score,allocated_quantity_kg,exact_grade
2025-03-02,B0_manual,O0001681,M000683,S0003630,C001,P03,B,B,2025-03-02,,20.0,1
2025-03-02,B0_manual,O0001681,M000683,S0003631,C001,P03,B,B,2025-03-02,,10.0,1
2025-03-02,B0_manual,O0001681,M000683,S0003632,C001,P03,B,B,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001681,M000683,S0003633,C001,P03,B,B,2025-03-02,,6.0,1
2025-03-02,B0_manual,O0001686,M000683,S0003644,C001,P05,B,B,2025-03-02,,4.0,1
2025-03-02,B0_manual,O0001686,M000683,S0003645,C001,P05,B,B,2025-03-02,,4.0,1
2025-03-02,B0_manual,O0001686,M000683,S0003646,C001,P05,B,B,2025-03-02,,3.0,1
2025-03-02,B0_manual,O0001686,M000683,S0003647,C001,P05,B,B,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001686,M000683,S0003639,C001,P05,A,B,2025-03-02,,13.0,0
2025-03-02,B0_manual,O0001686,M000683,S0003640,C001,P05,A,B,2025-03-02,,20.0,0
2025-03-02,B0_manual,O0001680,M000684,S0003626,C002,P03,A,B,2025-03-02,,6.0,0
2025-03-02,B0_manual,O0001683,M000684,S0003637,C002,P04,B,B,2025-03-02,,7.0,1
2025-03-02,B0_manual,O0001683,M000684,S0003638,C002,P04,B,B,2025-03-02,,13.0,1
2025-03-02,B0_manual,O0001683,M000684,S0003634,C002,P04,A,B,2025-03-02,,9.0,0
2025-03-02,B0_manual,O0001683,M000684,S0003635,C002,P04,A,B,2025-03-02,,7.0,0
2025-03-02,B0_manual,O0001690,M000684,S0003648,C002,P06,A,A,2025-03-02,,12.0,1
2025-03-02,B0_manual,O0001697,M000684,S0003665,C002,P08,A,A,2025-03-02,,11.0,1
2025-03-02,B0_manual,O0001697,M000684,S0003666,C002,P08,A,A,2025-03-02,,4.0,1
2025-03-02,B0_manual,O0001678,M000685,S0003620,C003,P02,A,A,2025-03-02,,8.0,1
2025-03-02,B0_manual,O0001684,M000685,S0003635,C003,P04,A,A,2025-03-02,,20.0,1
2025-03-02,B0_manual,O0001684,M000685,S0003636,C003,P04,A,A,2025-03-02,,2.0,1
2025-03-02,B0_manual,O0001687,M000685,S0003651,C003,P06,B,B,2025-03-02,,8.0,1
2025-03-02,B0_manual,O0001687,M000685,S0003652,C003,P06,B,B,2025-03-02,,6.0,1
2025-03-02,B0_manual,O0001687,M000685,S0003653,C003,P06,B,B,2025-03-02,,4.0,1
2025-03-02,B0_manual,O0001696,M000685,S0003666,C003,P08,A,A,2025-03-02,,6.0,1
2025-03-02,B0_manual,O0001696,M000685,S0003667,C003,P08,A,A,2025-03-02,,6.0,1
2025-03-02,B0_manual,O0001696,M000685,S0003668,C003,P08,A,A,2025-03-02,,3.0,1
2025-03-02,B0_manual,O0001682,M000686,S0003626,C004,P03,A,A,2025-03-02,,12.0,1
2025-03-02,B0_manual,O0001676,M000687,S0003620,C005,P02,A,A,2025-03-02,,24.0,1
2025-03-02,B0_manual,O0001676,M000687,S0003621,C005,P02,A,A,2025-03-02,,15.0,1
2025-03-02,B0_manual,O0001676,M000687,S0003622,C005,P02,A,A,2025-03-02,,3.0,1
2025-03-02,B0_manual,O0001692,M000688,S0003661,C006,P07,B,B,2025-03-02,,8.0,1
2025-03-02,B0_manual,O0001692,M000688,S0003662,C006,P07,B,B,2025-03-02,,5.0,1
2025-03-02,B0_manual,O0001692,M000688,S0003663,C006,P07,B,B,2025-03-02,,4.0,1
2025-03-02,B0_manual,O0001692,M000688,S0003664,C006,P07,B,B,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001692,M000688,S0003654,C006,P07,A,B,2025-03-02,,15.0,0
2025-03-02,B0_manual,O0001692,M000688,S0003655,C006,P07,A,B,2025-03-02,,18.0,0
2025-03-02,B0_manual,O0001692,M000688,S0003656,C006,P07,A,B,2025-03-02,,15.0,0
2025-03-02,B0_manual,O0001677,M000689,S0003623,C007,P02,B,B,2025-03-02,,14.0,1
2025-03-02,B0_manual,O0001693,M000689,S0003657,C007,P07,A,A,2025-03-02,,15.0,1
2025-03-02,B0_manual,O0001693,M000689,S0003658,C007,P07,A,A,2025-03-02,,7.0,1
2025-03-02,B0_manual,O0001693,M000689,S0003659,C007,P07,A,A,2025-03-02,,1.0,1
2025-03-02,B0_manual,O0001674,M000690,S0003614,C008,P01,A,A,2025-03-02,,25.0,1
2025-03-02,B0_manual,O0001673,M000691,S0003617,C009,P01,B,B,2025-03-02,,16.0,1
2025-03-02,B0_manual,O0001673,M000691,S0003618,C009,P01,B,B,2025-03-02,,17.0,1
2025-03-02,B0_manual,O0001675,M000692,S0003614,C010,P01,A,A,2025-03-02,,11.0,1
2025-03-02,B0_manual,O0001675,M000692,S0003615,C010,P01,A,A,2025-03-02,,12.0,1
