table_name,column_name,description_zh,unit_or_type
products,product_id,匿名产品主键,text
products,shelf_life_days,最大可用货架期,days
products,unit_price_per_kg,合成单位价值，仅用于目标函数,currency/kg
customers,customer_id,匿名客户主键,text
customers,priority_weight,客户优先权重,0.95-2.00
grade_compatibility,compatible,供给等级能否满足请求等级,0/1
supply,supply_id,库存批次主键,text
supply,age_days,库存年龄,days
supply,usable_quantity_kg,当日可用供给,kg
supply,expires_next_day,若当日未分配则次日不可用,0/1
order_messages,raw_message,合成非结构化订单消息,text
order_messages,split,提示开发集或冻结测试集,development/test
order_lines_ground_truth,requested_quantity_kg,统一换算后的真实请求量,kg
order_lines_ground_truth,substitution_allowed,客户是否允许等级替代,boolean
parser_predictions,pred_*,合成解析器输出字段,mixed
parser_predictions,json_valid,模拟输出是否为有效JSON,boolean
parser_predictions,needs_human_confirmation,是否进入人工确认门,boolean
parser_predictions,prediction_source,明确该结果并非真实LLM调用,text
