rating_id,user_id,allocation_date,order_line_id,clarity,factual_correctness,usefulness,review_confidence,overall_usability,comment_code
R00001,U01,2025-03-23,O0002279,4,4,5,5,4,CLEAR_AND_USEFUL
R00002,U01,2025-03-08,O0001865,4,5,4,4,5,SHORTFALL_CLEAR
R00003,U01,2025-03-10,O0001891,4,5,5,4,4,CLEAR_AND_USEFUL
R00004,U01,2025-03-12,O0001958,5,4,4,3,4,CLEAR_AND_USEFUL
R00005,U01,2025-03-14,O0002026,4,4,5,4,4,CLEAR_AND_USEFUL
R00006,U01,2025-03-10,O0001920,4,5,5,4,5,SHORTFALL_CLEAR
R00007,U01,2025-03-27,O0002381,4,5,4,4,4,SHORTFALL_CLEAR
R00008,U01,2025-03-28,O0002394,5,5,4,3,5,SHORTFALL_CLEAR
R00009,U01,2025-03-27,O0002372,4,5,5,4,4,SHORTFALL_CLEAR
R00010,U01,2025-03-31,O0002507,4,4,4,4,4,CLEAR_AND_USEFUL
R00011,U01,2025-03-12,O0001954,4,4,5,4,4,CLEAR_AND_USEFUL
R00012,U01,2025-03-28,O0002416,5,4,4,4,4,CLEAR_AND_USEFUL
R00013,U01,2025-03-14,O0002010,4,4,5,5,4,CLEAR_AND_USEFUL
R00014,U01,2025-03-06,O0001798,5,5,5,4,5,SHORTFALL_CLEAR
R00015,U01,2025-03-30,O0002465,4,4,4,4,4,CLEAR_AND_USEFUL
R00016,U01,2025-03-20,O0002188,5,4,4,5,4,CLEAR_AND_USEFUL
R00017,U01,2025-03-07,O0001824,4,4,5,4,4,CLEAR_AND_USEFUL
R00018,U01,2025-03-11,O0001940,5,4,5,4,5,CLEAR_AND_USEFUL
R00019,U01,2025-03-24,O0002300,4,4,4,4,4,CLEAR_AND_USEFUL
R00020,U01,2025-03-10,O0001902,4,5,4,5,4,CLEAR_AND_USEFUL
R00021,U01,2025-03-16,O0002092,3,5,4,4,3,SHORTFALL_CLEAR
R00022,U01,2025-03-09,O0001878,5,5,3,3,4,SHORTFALL_CLEAR
R00023,U01,2025-03-11,O0001943,5,4,5,5,5,CLEAR_AND_USEFUL
R00024,U01,2025-03-31,O0002500,4,5,5,4,5,CLEAR_AND_USEFUL
R00025,U01,2025-03-14,O0002028,4,4,4,4,3,CLEAR_AND_USEFUL
R00026,U01,2025-03-10,O0001908,4,5,5,4,4,CLEAR_AND_USEFUL
R00027,U01,2025-03-17,O0002097,4,5,5,4,5,SHORTFALL_CLEAR
R00028,U01,2025-03-14,O0002019,5,4,4,5,5,CLEAR_AND_USEFUL
R00029,U01,2025-03-02,O0001686,4,5,4,4,4,CLEAR_AND_USEFUL
R00030,U01,2025-03-07,O0001820,4,5,4,4,4,CLEAR_AND_USEFUL
R00031,U01,2025-03-13,O0002005,4,4,4,5,4,CLEAR_AND_USEFUL
R00032,U01,2025-03-04,O0001754,5,4,5,4,4,CLEAR_AND_USEFUL
R00033,U01,2025-03-07,O0001833,4,4,4,4,4,CLEAR_AND_USEFUL
R00034,U01,2025-03-29,O0002426,4,4,5,3,4,CLEAR_AND_USEFUL
R00035,U01,2025-03-17,O0002111,4,4,4,4,4,SHORTFALL_CLEAR
R00036,U01,2025-03-17,O0002110,4,4,4,4,4,CLEAR_AND_USEFUL
R00037,U02,2025-03-09,O0001889,4,5,4,4,4,CLEAR_AND_USEFUL
R00038,U02,2025-03-21,O0002209,4,4,4,4,4,CLEAR_AND_USEFUL
R00039,U02,2025-03-07,O0001832,5,5,4,4,4,CLEAR_AND_USEFUL
R00040,U02,2025-03-27,O0002372,4,5,4,3,4,SHORTFALL_CLEAR
R00041,U02,2025-03-29,O0002433,5,4,5,5,5,CLEAR_AND_USEFUL
R00042,U02,2025-03-16,O0002092,3,4,4,4,3,SHORTFALL_CLEAR
R00043,U02,2025-03-08,O0001849,4,4,5,4,4,CLEAR_AND_USEFUL
R00044,U02,2025-03-28,O0002415,4,4,4,5,4,CLEAR_AND_USEFUL
R00045,U02,2025-03-10,O0001920,4,4,4,3,4,SHORTFALL_CLEAR
R00046,U02,2025-03-06,O0001801,4,4,5,3,4,CLEAR_AND_USEFUL
R00047,U02,2025-03-11,O0001943,4,4,4,5,5,CLEAR_AND_USEFUL
R00048,U02,2025-03-19,O0002161,4,4,4,5,4,CLEAR_AND_USEFUL
R00049,U02,2025-03-14,O0002019,4,5,4,4,4,CLEAR_AND_USEFUL
R00050,U02,2025-03-29,O0002450,4,5,4,4,5,SHORTFALL_CLEAR
R00051,U02,2025-03-25,O0002318,4,4,3,4,4,CLEAR_AND_USEFUL
R00052,U02,2025-03-24,O0002297,4,4,4,4,4,SHORTFALL_CLEAR
R00053,U02,2025-03-30,O0002465,3,4,4,5,4,CLEAR_AND_USEFUL
R00054,U02,2025-03-15,O0002055,5,5,4,5,4,CLEAR_AND_USEFUL
R00055,U02,2025-03-14,O0002015,4,5,3,3,4,SHORTFALL_CLEAR
R00056,U02,2025-03-09,O0001870,4,5,4,4,4,CLEAR_AND_USEFUL
R00057,U02,2025-03-13,O0002005,4,4,4,4,4,CLEAR_AND_USEFUL
R00058,U02,2025-03-03,O0001723,5,5,4,4,4,CLEAR_AND_USEFUL
R00059,U02,2025-03-14,O0002020,4,5,3,4,4,SHORTFALL_CLEAR
R00060,U02,2025-03-17,O0002097,4,5,4,4,4,SHORTFALL_CLEAR
R00061,U02,2025-03-15,O0002051,5,5,5,4,5,CLEAR_AND_USEFUL
R00062,U02,2025-03-26,O0002367,5,5,5,4,5,CLEAR_AND_USEFUL
R00063,U02,2025-03-28,O0002416,4,4,4,4,4,CLEAR_AND_USEFUL
R00064,U02,2025-03-30,O0002458,4,4,4,5,4,CLEAR_AND_USEFUL
R00065,U02,2025-03-17,O0002111,4,4,4,4,4,SHORTFALL_CLEAR
R00066,U02,2025-03-28,O0002394,4,5,4,3,4,SHORTFALL_CLEAR
R00067,U02,2025-03-28,O0002402,5,5,4,3,4,CLEAR_AND_USEFUL
R00068,U02,2025-03-16,O0002068,4,5,5,3,4,CLEAR_AND_USEFUL
R00069,U02,2025-03-29,O0002426,5,4,5,3,4,CLEAR_AND_USEFUL
R00070,U02,2025-03-09,O0001878,4,4,3,4,3,SHORTFALL_CLEAR
R00071,U02,2025-03-04,O0001736,5,5,5,5,5,CLEAR_AND_USEFUL
R00072,U02,2025-03-18,O0002136,5,5,4,5,5,CLEAR_AND_USEFUL
R00073,U03,2025-03-17,O0002111,4,5,3,5,5,SHORTFALL_CLEAR
R00074,U03,2025-03-11,O0001943,4,5,4,4,5,CLEAR_AND_USEFUL
R00075,U03,2025-03-20,O0002201,3,4,4,4,4,SHORTFALL_CLEAR
R00076,U03,2025-03-31,O0002507,4,5,4,3,4,CLEAR_AND_USEFUL
R00077,U03,2025-03-05,O0001771,4,5,4,4,4,CLEAR_AND_USEFUL
R00078,U03,2025-03-19,O0002164,4,4,5,4,4,CHECK_SOURCE_DATA
R00079,U03,2025-03-06,O0001810,4,4,5,4,5,CLEAR_AND_USEFUL
R00080,U03,2025-03-14,O0002026,4,5,4,4,4,CLEAR_AND_USEFUL
R00081,U03,2025-03-30,O0002453,5,4,4,4,4,CLEAR_AND_USEFUL
R00082,U03,2025-03-04,O0001753,5,5,3,3,4,SHORTFALL_CLEAR
R00083,U03,2025-03-07,O0001833,4,5,4,5,5,CLEAR_AND_USEFUL
R00084,U03,2025-03-21,O0002221,5,5,4,4,5,CLEAR_AND_USEFUL
R00085,U03,2025-03-27,O0002381,5,5,4,5,5,SHORTFALL_CLEAR
R00086,U03,2025-03-14,O0002010,3,5,5,4,4,CLEAR_AND_USEFUL
R00087,U03,2025-03-06,O0001800,5,5,5,5,5,CLEAR_AND_USEFUL
R00088,U03,2025-03-14,O0002034,5,4,4,4,4,CLEAR_AND_USEFUL
R00089,U03,2025-03-14,O0002028,5,5,5,5,5,CLEAR_AND_USEFUL
R00090,U03,2025-03-07,O0001832,3,4,3,5,4,CLEAR_AND_USEFUL
R00091,U03,2025-03-14,O0002020,3,5,5,4,4,SHORTFALL_CLEAR
R00092,U03,2025-03-15,O0002062,4,4,4,5,4,SHORTFALL_CLEAR
R00093,U03,2025-03-12,O0001960,3,4,4,4,4,SHORTFALL_CLEAR
R00094,U03,2025-03-19,O0002166,5,4,4,4,5,CLEAR_AND_USEFUL
R00095,U03,2025-03-28,O0002415,5,5,4,4,4,CLEAR_AND_USEFUL
