order_line_id,message_id,allocation_date,customer_id,product_id,raw_product_text,requested_quantity,unit,requested_quantity_kg,requested_grade,delivery_date,substitution_allowed,notes
O0000001,M000007,2025-01-01,C007,P01,tomato,10.0,kg,10.0,B,2025-01-01,True,synthetic order line
O0000002,M000005,2025-01-01,C005,P01,tomatoes,6.0,box,30.0,B,2025-01-01,True,synthetic order line
O0000003,M000009,2025-01-01,C009,P01,tomatoes,12.0,box,60.0,A,2025-01-01,False,synthetic order line
O0000004,M000001,2025-01-01,C001,P01,tomatoes,12.0,box,60.0,A,2025-01-01,False,synthetic order line
O0000005,M000001,2025-01-01,C001,P02,lett,8.0,kg,8.0,A,2025-01-01,False,synthetic order line
O0000006,M000003,2025-01-01,C003,P02,lettuce,54.0,kg,54.0,B,2025-01-01,True,synthetic order line
O0000007,M000008,2025-01-01,C008,P03,cucumbers,22.0,kg,22.0,A,2025-01-01,False,synthetic order line
O0000008,M000002,2025-01-01,C002,P03,cucumbers,4.0,box,24.0,B,2025-01-01,True,synthetic order line
O0000009,M000011,2025-01-01,C011,P03,cucumber,58.0,kg,58.0,A,2025-01-01,False,synthetic order line
O0000010,M000010,2025-01-01,C010,P04,berries,16.0,kg,16.0,A,2025-01-01,False,synthetic order line
O0000011,M000002,2025-01-01,C002,P04,strawberries,4.0,box,12.0,A,2025-01-01,False,synthetic order line
O0000012,M000001,2025-01-01,C001,P04,strawberries,9.0,box,27.0,A,2025-01-01,False,synthetic order line
O0000013,M000012,2025-01-01,C012,P05,bell pepper,20.0,kg,20.0,B,2025-01-01,True,synthetic order line
O0000014,M000006,2025-01-01,C006,P05,capsicum,4.0,kg,4.0,A,2025-01-01,False,synthetic order line
O0000015,M000002,2025-01-01,C002,P05,bell pepper,15.0,kg,15.0,A,2025-01-01,False,synthetic order line
O0000016,M000004,2025-01-01,C004,P05,bell pepper,23.0,kg,23.0,A,2025-01-01,False,synthetic order line
O0000017,M000001,2025-01-01,C001,P05,capsicum,15.0,kg,15.0,B,2025-01-01,False,synthetic order line
O0000018,M000003,2025-01-01,C003,P06,spin,8.0,kg,8.0,B,2025-01-01,True,synthetic order line
O0000019,M000005,2025-01-01,C005,P06,spin,25.0,kg,25.0,A,2025-01-01,False,synthetic order line
O0000020,M000010,2025-01-01,C010,P06,spinach,11.0,kg,11.0,A,2025-01-01,False,synthetic order line
O0000021,M000012,2025-01-01,C012,P07,car,19.0,kg,19.0,A,2025-01-01,False,synthetic order line
O0000022,M000005,2025-01-01,C005,P07,carrots,69.0,kg,69.0,A,2025-01-01,False,synthetic order line
O0000023,M000002,2025-01-01,C002,P07,car,27.0,kg,27.0,B,2025-01-01,True,synthetic order line
O0000024,M000003,2025-01-01,C003,P08,broc,45.0,kg,45.0,A,2025-01-01,False,synthetic order line
O0000025,M000008,2025-01-01,C008,P08,brocc,4.0,kg,4.0,A,2025-01-01,True,synthetic order line
O0000026,M000010,2025-01-01,C010,P08,brocc,18.0,kg,18.0,A,2025-01-01,False,synthetic order line
O0000027,M000012,2025-01-01,C012,P08,broccoli,1.0,box,5.0,A,2025-01-01,True,synthetic order line
O0000028,M000022,2025-01-02,C011,P01,tomato,17.0,kg,17.0,B,2025-01-02,False,synthetic order line
O0000029,M000014,2025-01-02,C003,P01,toms,3.0,box,15.0,A,2025-01-02,False,synthetic order line
O0000030,M000015,2025-01-02,C004,P01,tomatoes,19.0,kg,19.0,A,2025-01-02,False,synthetic order line
O0000031,M000021,2025-01-02,C010,P01,tomatoes,106.0,kg,106.0,A,2025-01-02,False,synthetic order line
O0000032,M000018,2025-01-02,C007,P02,lett,66.0,kg,66.0,A,2025-01-02,False,synthetic order line
O0000033,M000013,2025-01-02,C002,P02,lett,39.0,kg,39.0,B,2025-01-02,True,synthetic order line
O0000034,M000016,2025-01-02,C005,P03,cucumber,91.0,kg,91.0,A,2025-01-02,False,synthetic order line
