supply_id,allocation_date,product_id,supply_grade,age_days,shelf_life_days,usable_quantity_kg,expires_next_day,unit_value_per_kg
S0000001,2025-01-01,P01,A,0,3,29.0,0,3.2
S0000002,2025-01-01,P01,A,1,3,26.0,0,3.2
S0000003,2025-01-01,P01,A,2,3,27.0,1,3.2
S0000004,2025-01-01,P01,B,0,3,24.0,0,3.2
S0000005,2025-01-01,P01,B,1,3,21.0,0,3.2
S0000006,2025-01-01,P02,A,0,3,34.0,0,2.6
S0000007,2025-01-01,P02,A,1,3,8.0,0,2.6
S0000008,2025-01-01,P02,A,2,3,1.0,1,2.6
S0000009,2025-01-01,P02,B,0,3,9.0,0,2.6
S0000010,2025-01-01,P02,B,1,3,7.0,0,2.6
S0000011,2025-01-01,P02,B,2,3,5.0,1,2.6
S0000012,2025-01-01,P03,A,0,4,11.0,0,2.1
S0000013,2025-01-01,P03,A,1,4,30.0,0,2.1
S0000014,2025-01-01,P03,A,2,4,7.0,0,2.1
S0000015,2025-01-01,P03,A,3,4,6.0,1,2.1
S0000016,2025-01-01,P03,B,0,4,14.0,0,2.1
S0000017,2025-01-01,P03,B,1,4,18.0,0,2.1
S0000018,2025-01-01,P03,B,2,4,1.0,0,2.1
S0000019,2025-01-01,P03,B,3,4,2.0,1,2.1
S0000020,2025-01-01,P04,A,0,3,6.0,0,6.8
S0000021,2025-01-01,P04,A,1,3,14.0,0,6.8
S0000022,2025-01-01,P04,A,2,3,1.0,1,6.8
S0000023,2025-01-01,P04,B,0,3,16.0,0,6.8
S0000024,2025-01-01,P04,B,1,3,4.0,0,6.8
S0000025,2025-01-01,P05,A,0,5,9.0,0,4.1
S0000026,2025-01-01,P05,A,1,5,5.0,0,4.1
S0000027,2025-01-01,P05,A,2,5,12.0,0,4.1
S0000028,2025-01-01,P05,A,3,5,7.0,0,4.1
S0000029,2025-01-01,P05,B,0,5,8.0,0,4.1
S0000030,2025-01-01,P05,B,1,5,17.0,0,4.1
S0000031,2025-01-01,P05,B,2,5,6.0,0,4.1
